DateTime,Airport,Airport2,Inbound,Carrier,Delay,Distance
30-12-2008 13:15,JFK,BUR,0,B6,0,2465
30-12-2008 18:58,JFK,BUR,0,B6,59,2465
30-12-2008 09:26,JFK,CLT,0,B6,-4,541
30-12-2008 17:32,JFK,CLT,0,B6,22,541
30-12-2008 21:39,JFK,CLT,0,B6,-1,541
30-12-2008 21:13,JFK,DEN,0,B6,8,1626
30-12-2008 08:10,JFK,DEN,0,B6,0,1626
30-12-2008 15:26,JFK,FLL,0,B6,27,1069
30-12-2008 16:35,JFK,FLL,0,B6,40,1069
30-12-2008 11:06,JFK,FLL,0,B6,1,1069
30-12-2008 08:05,JFK,FLL,0,B6,-4,1069
30-12-2008 09:03,JFK,FLL,0,B6,-7,1069
30-12-2008 19:50,JFK,FLL,0,B6,15,1069
30-12-2008 12:35,JFK,FLL,0,B6,5,1069
30-12-2008 14:09,JFK,FLL,0,B6,14,1069
30-12-2008 06:09,JFK,FLL,0,B6,-1,1069
30-12-2008 17:29,JFK,FLL,0,B6,-1,1069
30-12-2008 08:00,JFK,HOU,0,B6,0,1428
30-12-2008 12:41,JFK,HOU,0,B6,-4,1428
30-12-2008 09:11,JFK,IAD,0,B6,11,228
30-12-2008 16:24,JFK,IAD,0,B6,44,228
30-12-2008 17:26,JFK,IAD,0,B6,-4,228
30-12-2008 23:37,JFK,IAD,0,B6,62,228
30-12-2008 08:25,JFK,JAX,0,B6,20,829
30-12-2008 13:20,JFK,JAX,0,B6,0,829
30-12-2008 22:09,JFK,JAX,0,B6,70,829
30-12-2008 08:17,JFK,LAS,0,B6,22,2248
30-12-2008 19:18,JFK,LAS,0,B6,38,2248
30-12-2008 21:22,JFK,LAS,0,B6,52,2248
30-12-2008 14:58,JFK,LAS,0,B6,8,2248
30-12-2008 11:40,JFK,LGB,0,B6,0,2465
30-12-2008 15:58,JFK,LGB,0,B6,-1,2465
30-12-2008 18:01,JFK,LGB,0,B6,-4,2465
30-12-2008 08:59,JFK,LGB,0,B6,-1,2465
30-12-2008 11:30,JFK,MCO,0,B6,1,944
30-12-2008 09:05,JFK,MCO,0,B6,0,944
30-12-2008 20:19,JFK,MCO,0,B6,19,944
30-12-2008 13:23,JFK,MCO,0,B6,-2,944
